Number	Player	Team	 Purchased 	 Paid 
102	Felipe Alou	San Francisco Giants	 TRUE 	$2.11
103	Billy Goodman	Chicago White Sox	 TRUE 	$4.16
104	Del Rice	Milwaukee Braves	 FALSE 	
105	Lee Walls	Chicago Cubs	 TRUE 	$4.00
106	Hal Woodeshick	Cleveland Indians	 FALSE 	
107	Norm Larker	Los Angeles Dodgers	 TRUE 	$2.25
108	Zack Monroe	New York Yankees	 TRUE 	$10.39
109	Bob Schmidt	San Francisco Giants	 TRUE 	$3.52
110	George Witt	Pittsburgh Pirates	 TRUE 	$3.43
111	Cincinnati Redlegs	Cincinnati Redlegs	 FALSE 	
112	Billy Consolo	Boston Red Sox	 TRUE 	$2.65
113	Taylor Phillips	Chicago Cubs	 TRUE 	$1.93
114	Earl Battey	Chicago White Sox	 TRUE 	$1.50
115	Mickey Vernon	Cleveland Indians	 TRUE 	$4.61
116	Bob Allison	Washington Senators	 TRUE 	$4.47
117	John Blanchard	New York Yankees	 FALSE 	
118	John Buzhardt	Chicago Cubs	 TRUE 	$1.93
119	Johnny Callison	Chicago White Sox	 FALSE 	
120	Chuck Coles	Cincinnati Redlegs	 FALSE 	
121	Bob Conley	Philadelphia Phillies	 FALSE 	
122	Bennie Daniels	Pittsburgh Pirates	 FALSE 	
123	Don Dillard	Cleveland Indians	 FALSE 	
124	Dan Dobbek	Washington Senators	 FALSE 	
125	Ron Fairly	Los Angeles Dodgers	 TRUE 	$3.09
126	Eddie Haas	Milwaukee Braves	 FALSE 	
127	Kent Hadley	Kansas City Athletics	 FALSE 	
128	Bob Hartman	Milwaukee Braves	 FALSE 	
129	Frank Herrera	Philadelphia Phillies	 FALSE 	
130	Lou Jackson	Chicago Cubs	 FALSE 	
131	Deron Johnson	New York Yankees	 FALSE 	
132	Don Lee	Detroit Tigers 	 FALSE 	
133	Bob Lillis	Los Angeles Dodgers	 TRUE 	$2.40
134	Jim McDaniel	Pittsburgh Pirates	 TRUE 	$3.43
135	Gene Oliver	St. Louis Cardinals	 TRUE 	$5.90
136	Jim O'Toole	Cincinnati Redlegs	 TRUE 	$2.39
137	Dick Ricketts	St. Louis Cardinals	 TRUE 	$3.79
138	Johnny Romano	Chicago White Sox	 FALSE 	
139	Ed Sadowski	Boston Red Sox	 FALSE 	
140	Charlie Secrest	Kansas City Athletics	 TRUE 	$6.03
141	Joe Shipley	San Francisco Giants	 FALSE 	
142	Dick Stigman	Cleveland Indians	 TRUE 	$3.33
143	Willie Tasby	Baltimore Orioles	 FALSE 	
144	Jerry Walker	Baltimore Orioles	 FALSE 	
145	Dom Zanni	San Francisco Giants	 FALSE 	
146	Jerry Zimmerman	Boston Red Sox	 FALSE 	
147	Banks, Moryn, Long	Chicago Cubs	 FALSE 	$16.00
148	Mike McCormick	San Francisco Giants	 TRUE 	$2.00
149	Jim Bunning	Detroit Tigers	 FALSE 	
150	Stan Musial	St. Louis Cardinals	 FALSE 	
151	Bobby Malkmus	Washington Senators	 TRUE 	$3.45
152	Johnny Klippstein	Los Angeles Dodgers	 TRUE 	$8.96
153	Jim Marshall	Chicago Cubs	 TRUE 	$1.93
154	Ray Herbert	Kansas City Athletics	 TRUE 	$3.00
155	Enos Slaughter	New York Yankees	 FALSE 	
156	Pierce, Roberts	Chicago White Sox	 TRUE 	$8.84
157	Felix Mantilla	Milwaukee Braves	 FALSE 	$5.18
158	Walt Dropo	Cincinnati Redlegs	 TRUE 	$4.30
159	Bob Shaw	Chicago White Sox	 TRUE 	$1.50
160	Dick Groat	Pittsburgh Pirates	 FALSE 	
161	Frank Baumann	Boston Red Sox	 FALSE 	
