Number	Player	Team	 Purchased 	 Paid 
451	Jim Constable	Washington Senators	 TRUE 	$2.00
452	Chico Fernandez	Philadelphia Phillies	 TRUE 	$2.00
453	Les Moss	Chicago White Sox	 TRUE 	$3.60
454	Phil Clark	St. Louis Cardinals	 TRUE 	$2.00
455	Larry Doby	Detroit Tigers 	 TRUE 	$8.00
456	Jerry Casale	Boston Red Sox	 FALSE 	
457	Los Angeles Dodgers	Los Angeles Dodgers	 FALSE 	
458	Gordon Jones	San Francisco Giants	 TRUE 	$4.66
459	Bill Tuttle	Kansas City Athletics	 TRUE 	$2.00
460	Bob Friend	Pittsburgh Pirates	 TRUE 	$4.97
461	Mickey Mantle	New York Yankees	 TRUE 	$100.00
462	Rocky Colavito	Cleveland Indians	 TRUE 	$3.33
463	Al Kaline	Detroit Tigers 	 FALSE 	
464	Willie Mays	San Francisco Giants	 FALSE 	
465	Roy Sievers	Washington Senators	 TRUE 	$3.33
466	Billy Pierce	Chicago White Sox	 TRUE 	$6.36
467	Hank Aaron	Milwaukee Braves	 FALSE 	
468	Duke Snider	Los Angeles Dodgers	 FALSE 	
469	Ernie Banks	Chicago Cubs	 TRUE 	$23.14
470	Stan Musial	St. Louis Cardinals	 TRUE 	$7.71
471	Tom Sturdivant	New York Yankees	 TRUE 	$3.70
472	Gene Freese	Philadelphia Phillies	 TRUE 	$6.38
473	Mike Fornieles	Boston Red Sox	 TRUE 	$1.86
474	Moe Thacker	Chicago Cubs	 TRUE 	$3.60
475	Jack Harshman	Baltimore Orioles 	 TRUE 	$2.22
476	Cleveland Indians	Cleveland Indians	 TRUE 	$5.57
477	Barry Latman	Chicago White Sox	 TRUE 	$2.22
478	Roberto Clemente	Pittsburgh Pirates	 TRUE 	$99.72
479	Lindy McDaniel	St. Louis Cardinals	 TRUE 	$2.00
480	Red Schoendienst	Milwaukee Braves	 TRUE 	$9.00
481	Charlie Maxwell	Detroit Tigers 	 TRUE 	$3.60
482	Russ Meyer	Kansas City Athletics	 TRUE 	$3.55
483	Clint Courtney	Washington Senators	 TRUE 	$4.97
484	Willie Kirkland	San Francisco Giants	 TRUE 	$2.00
485	Ryne Duren	New York Yankees	 TRUE 	$2.00
486	Sammy White	Boston Red Sox	 TRUE 	$2.00
487	Hal Brown	Baltimore Orioles 	 FALSE 	
488	Walt Moryn	Chicago Cubs	 FALSE 	
489	John Powers	Cincinnati Redlegs	 TRUE 	$3.29
490	Frank Thomas	Cincinnati Redlegs	 TRUE 	$4.24
491	Don Blasingame	St. Louis Cardinals	 FALSE 	
492	Gene Conley	Philadelphia Phillies	 TRUE 	$3.98
493	Jim Landis	Chicago White Sox	 TRUE 	$3.17
494	Don Pavletich	Cincinnati Redlegs	 TRUE 	$1.92
495	Johnny Podres	Los Angeles Dodgers	 FALSE 	
496	Wayne Terwilliger	Kansas City Athletics	 FALSE 	
497	Hal R. Smith	St. Louis Cardinals	 TRUE 	$3.00
498	Dick Hyde	Washington Senators	 TRUE 	$3.00
499	Johnny O'Brien	Milwaukee Braves	 TRUE 	$3.00
500	Vic Wertz	Boston Red Sox	 FALSE 	
501	Bobby Tiefenauer	Cleveland Indians	 TRUE 	$3.00
502	Alvin Dark	Chicago Cubs	 TRUE 	$2.75
503	Jim Owens	Philadelphia Phillies	 TRUE 	$5.00
504	Ossie Alvarez	Detroit Tigers 	 TRUE 	$1.93
505	Tony Kubek	New York Yankees	 FALSE 	
506	Bob Purkey	Cincinnati Redlegs	 TRUE 	$5.00
507	Bob Hale	Baltimore Orioles 	 FALSE 	
508	Art Fowler	Los Angeles Dodgers	 FALSE 	
509	Norm Cash	Chicago White Sox	 FALSE 	
510	New York Yankees	New York Yankees	 FALSE 	
511	George Susce	Detroit Tigers 	 FALSE 	
512	George Altman	Chicago Cubs	 TRUE 	$4.77
513	Tommy Carroll	Kansas City Athletics	 TRUE 	$1.87
514	Bob Gibson	St. Louis Cardinals	 FALSE 	
515	Harmon Killebrew	Washington Senators	 FALSE 	
516	Mike Garcia	Cleveland Indians	 FALSE 	
517	Joe Koppe	Philadelphia Phillies	 TRUE 	$1.87
518	Mike Cuellar	Cincinnati Redlegs	 FALSE 	
519	Malzone, Runnels, Gernert	Boston Red Sox	 FALSE 	
520	Don Elston	Chicago Cubs	 TRUE 	$7.20
521	Gary Geiger	Boston Red Sox	 FALSE 	
522	Gene Snyder	Los Angeles Dodgers	 FALSE 	
523	Harry Bright	Pittsburgh Pirates	 TRUE 	$6.35
524	Larry Osborne	Detroit Tigers 	 FALSE 	
525	Jim Coates	New York Yankees	 FALSE 	
526	Bob Speake	San Francisco Giants	 TRUE 	$1.87
527	Solly Hemus	St. Louis Cardinals	 FALSE 	
528	Pittsburgh Pirates	Pittsburgh Pirates	 FALSE 	
529	George Bamberger	Baltimore Orioles 	 TRUE 	$10.60
530	Wally Moon	Los Angeles Dodgers	 TRUE 	$6.61
531	Ray Webster	Cleveland Indians	 FALSE 	
532	Mark Freeman	Kansas City Athletics	 TRUE 	$10.58
533	Darrell Johnson	New York Yankees	 FALSE 	
534	Faye Throneberry	Washington Senators	 FALSE 	
535	Ruben Gomez	Philadelphia Phillies	 TRUE 	$8.38
536	Danny Kravitz	Pittsburgh Pirates	 FALSE 	
537	Rodolfo Arias	Chicago White Sox	 TRUE 	$6.35
538	Chick King	Chicago Cubs	 FALSE 	
539	Gary Blaylock	St. Louis Cardinals	 FALSE 	
540	Willy Miranda	Baltimore Orioles 	 FALSE 	
541	Bob Thurman	Cincinnati Redlegs	 TRUE 	$6.35
542	Jim Perry	Cleveland Indians	 FALSE 	
543	Roberto Clemente	Pittsburgh Pirates	 FALSE 	
543	Bob Skinner	Pittsburgh Pirates	 FALSE 	
543	Bill Virdon	Pittsburgh Pirates	 FALSE 	
544	Lee Tate	St. Louis Cardinals	 TRUE 	$5.00
545	Tom Morgan	Detroit Tigers 	 FALSE 	
546	Al Schroll	Philadelphia Phillies	 TRUE 	$6.35
547	Jim Baxes	Los Angeles Dodgers	 TRUE 	$3.00
548	Elmer Singleton	Chicago Cubs	 TRUE 	$2.27
549	Howie Nunn	St. Louis Cardinals	 FALSE 	
550	Roy Campanella	Los Angeles Dodgers	 FALSE 	
551	Fred Haney	Milwaukee Braves	 FALSE 	
552	Casey Stengel	New York Yankees	 TRUE 	$10.58
553	Orlando Cepeda	San Francisco Giants	 FALSE 	
554	Bill Skowron	New York Yankees	 FALSE 	
555	Bill Mazeroski	Pittsburgh Pirates	 FALSE 	
556	Nellie Fox	Chicago White Sox	 TRUE 	$14.58
557	Ken Boyer	St. Louis Cardinals	 FALSE 	
558	Frank Malzone	Boston Red Sox	 FALSE 	
559	Ernie Banks	Chicago Cubs	 TRUE 	$29.10
560	Luis Aparicio	Chicago White Sox	 FALSE 	
561	Hank Aaron	Milwaukee Braves	 FALSE 	
562	Al Kaline	Detroit Tigers 	 FALSE 	
563	Willie Mays	San Francisco Giants	 FALSE 	
564	Mickey Mantle	New York Yankees	 FALSE 	
565	Wes Covington	Milwaukee Braves	 TRUE 	$8.47
566	Roy Sievers	Washington Senators	 FALSE 	
567	Del Crandall	Milwaukee Braves	 FALSE 	
568	Gus Triandos	Baltimore Orioles 	 TRUE 	$2.00
569	Bob Friend	Pittsburgh Pirates	 FALSE 	
570	Bob Turley	New York Yankees	 FALSE 	
571	Warren Spahn	Milwaukee Braves	 FALSE 	
572	Billy Pierce	Chicago White Sox	 FALSE 	
